TIME,GEO,Men's lace-up shoes (1 pair),Men's street shoes (1 pair),Ladies' conventional court shoes (1 pair),Ladies' long boots (1 pair),Children's sport shoes (1 pair)
2010,European Union - 27 countries (from 2020),59.1934693877551,49.38187755102041,55.922938775510204,82.23346938775511,27.11510204081633
2010,European Union - 28 countries (2013-2020),57.80612244897959,48.224489795918366,54.61224489795919,80.3061224489796,26.479591836734695
2010,European Union - 15 countries (1995-2004),58.44198979591836,48.75495918367347,55.212979591836735,81.18948979591836,26.770867346938772
2010,Euro area - 19 countries  (from 2015),59.7715306122449,49.86412244897959,56.469061224489806,83.0365306122449,27.379897959183673
2010,Euro area - 12 countries (2001-2006),59.944948979591835,50.00879591836735,56.63289795918368,83.27744897959184,27.459336734693878
2010,Belgium,65.08969387755101,54.300775510204076,61.49338775510204,90.42469387755101,29.816020408163265
2010,Bulgaria,42.37188775510204,35.34855102040816,40.03077551020408,58.864387755102044,19.40954081632653
2010,Czechia,56.65,47.26,53.52,78.70,25.95
2010,Denmark,64.91627551020409,54.15610204081632,61.32955102040817,90.18377551020409,29.73658163265306
2010,Germany (until 1990 former territory of the FRG),59.7715306122449,49.86412244897959,56.469061224489806,83.0365306122449,27.379897959183673
2010,Estonia,63.875765306122446,53.288061224489795,60.3465306122449,88.73826530612246,29.259948979591837
2010,Ireland,46.765153061224495,39.01361224489796,44.18130612244899,64.9676530612245,21.421989795918368
2010,Greece,62.54622448979592,52.17889795918367,59.09044897959184,86.89122448979592,28.65091836734694
2010,Spain,58.15295918367347,48.513836734693875,54.93991836734694,80.78795918367348,26.638469387755098
2010,France,56.12974489795918,46.825979591836735,53.02848979591837,77.97724489795918,25.711683673469388
2010,Croatia,57.94,52.05,55.54,100.73,32.03
2010,Italy,89.57,66.25,76.88,114.82,42.47
2010,Cyprus,80.57,39.79,75.03,116.00,30.46
2010,Latvia,57.92173469387755,48.32093877551021,54.72146938775511,80.46673469387756,26.532551020408164
2010,Lithuania,71.49,27.62,128.37,98.61,19.18
2010,Luxembourg,63.355510204081625,52.85404081632653,59.85502040816327,88.01551020408164,29.021632653061225
2010,Hungary,52.60357142857143,43.88428571428571,49.697142857142865,73.07857142857142,24.096428571428568
2010,Malta,56.93,35.49,40.64,54.99,26.83
2010,Netherlands,123.68,61.02,78.18,108.34,47.18
2010,Austria,59.36688775510204,49.526551020408164,56.08677551020409,82.47438775510204,27.19454081632653
2010,Poland,46.54,31.89,46.74808163265306,81.14,13.93
2010,Portugal,50.233520408163265,41.90708163265306,47.45804081632654,69.78602040816327,23.01076530612245
2010,Romania,45.96,45.66859183673469,51.71779591836735,72.29,25.076173469387758
2010,Slovenia,68.24,30.99,63.14,92.46,25.20
2010,Slovakia,59.53,39.24,55.42,99.45,27.47
2010,Finland,69.9454081632653,58.35163265306122,66.08081632653061,97.17040816326531,32.040306122448975
2010,Sweden,67.92219387755102,56.66377551020408,64.16938775510205,94.35969387755102,31.113520408163264
2010,United Kingdom,50.291326530612245,41.95530612244898,47.5126530612245,69.86632653061226,23.037244897959184
2010,Iceland,82.20030612244898,68.57522448979591,77.65861224489795,114.19530612244897,37.65397959183673
2010,Norway,115.99,68.71989795918367,77.82244897959184,114.43622448979592,39.84
2010,Switzerland,68.90489795918367,57.48359183673469,65.09779591836735,95.72489795918368,31.56367346938775
2010,Montenegro,64.80066326530611,54.05965306122449,61.22032653061224,90.02316326530612,29.68362244897959
2010,North Macedonia,45.55122448979591,38.00089795918367,43.034448979591836,63.281224489795925,20.86591836734694
2010,Albania,43.87484693877552,36.60238775510204,41.450693877551025,60.95234693877552,20.098010204081632
2010,Serbia,56.303163265306125,46.97065306122449,53.192326530612256,78.21816326530613,25.791122448979593
2010,Turkey,41.96724489795918,42.41,29.65,39.87,21.66
2010,Bosnia and Herzegovina,54.27994897959184,45.28279591836735,51.280897959183676,75.40744897959183,24.864336734693875
2010,Kosovo (under United Nations Security Council Resolution 1244/99),57.80612244897959,48.224489795918366,54.61224489795919,80.3061224489796,26.479591836734695
2011,European Union - 27 countries (from 2020),63.66858407079645,53.11522123893804,60.150796460176984,88.4504424778761,29.16504424778761
2011,European Union - 28 countries (2013-2020),62.66592920353982,52.2787610619469,59.203539823008846,87.0575221238938,28.705752212389378
2011,European Union - 15 countries (1995-2004),63.16725663716814,52.69699115044247,59.677168141592915,87.75398230088496,28.93539823008849
2011,Euro area - 19 countries  (from 2015),63.856581858407075,53.27205752212389,60.32840707964603,88.7116150442478,29.25116150442478
2011,Euro area - 12 countries (2001-2006),63.919247787610615,53.32433628318583,60.38761061946902,88.79867256637168,29.279867256637168
2011,Belgium,68.55652654867257,57.1929646017699,64.76867256637169,95.24092920353982,31.404092920353982
2011,Bulgaria,46.93678097345133,39.15679203539823,44.343451327433634,65.20608407079646,21.500608407079646
2011,Czechia,56.65,47.26,53.52,78.70,25.95
2011,Denmark,76.95376106194689,64.19831858407079,72.70194690265487,106.90663716814159,35.25066371681415
